Variant ASIN,Parent ASIN,Is Requested Variant,Team Name,Size
B09DQ8VG9Z,B0CYSVW532,false,Virginia Cavaliers,Small
B09DQ8ZLY8,B0CYSVW532,false,Clemson Tigers,Small
B09DQ9NLY2,B0CYSVW532,false,Michigan Wolverines,Small
B09DQ9DQP4,B0CYSVW532,false,Colorado State Rams,Medium
B09DQ9ZSZN,B0CYSVW532,false,Purdue Boilermakers,Medium
B09DQ7ZTNX,B0CYSVW532,false,UCLA Bruins,Medium
B09DQ8NJHH,B0CYSVW532,false,Florida State Seminoles,Large
B09DQ7ZTNY,B0CYSVW532,false,Washington Huskies,Large
B09DQ89P4G,B0CYSVW532,false,Columbia Lions,XX-Large
B09DQ7LRM4,B0CYSVW532,false,Stanford Cardinal,X-Large
B09DQ9HQ46,B0CYSVW532,false,Arizona Wildcats,X-Large
B09DQB1VB5,B0CYSVW532,false,Colorado Buffaloes,Large
B09DQ8BB5N,B0CYSVW532,false,Stanford Cardinal,Medium
B09DQ79GFD,B0CYSVW532,false,UCSB Gauchos,Large
B09DQCFCSG,B0CYSVW532,false,Northwestern Wildcats,X-Large
B09DQ96JKW,B0CYSVW532,false,Arizona State Sun Devils,Medium
B09DQ7TLPL,B0CYSVW532,false,UCSB Gauchos,Medium
B09DQB23RQ,B0CYSVW532,false,Illinois Fighting Illini,Large
B09DQ9Z866,B0CYSVW532,false,Baylor Bears,Medium
B09DQ98ZMT,B0CYSVW532,false,Iowa State Cyclones,Large
B09DQ9RTTR,B0CYSVW532,false,Missouri Tigers,XX-Large
B09DQ94HNK,B0CYSVW532,false,Boston College Eagles,XX-Large
B09DQB4GLC,B0CYSVW532,false,Auburn Tigers,X-Large
B09DQ8TSZ3,B0CYSVW532,false,Maryland Terrapins,Medium
B09DQ7Y4RB,B0CYSVW532,false,Clemson Tigers,Medium
B09DQCG1TD,B0CYSVW532,false,Purdue Boilermakers,Small
B09DQ8ZMCK,B0CYSVW532,false,Tulane Green Wave,X-Large
B09DQB4KDB,B0CYSVW532,false,Washington Huskies,Small
B09DQB9FCG,B0CYSVW532,false,Arkansas Razorbacks,X-Large
