ASIN,Parent ASIN,Title,Relationship
B09DQ93Q66,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Arizona Wildcats - Navy, 18oz) 18oz Arizona Wildcats - Navy",CHILD
B0CNKTJJBK,B0DJP6QDNZ,"Campus Colors College Stainless Steel, Double Walled, Vacuum Insulated, Reusable Collegiate Tumbler with Slider-Top Lid for Travel, Sports, and Coffee, 18 oz (Oregon Ducks - Black, 18oz) 18oz Oregon Ducks - Black",CHILD
B09DQ7984C,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (South Carolina Gamecocks - Maroon, 18oz) 18oz South Carolina Gamecocks - Maroon",CHILD
B09DQ8M1NP,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Wisconsin Badgers - Red, 18oz) 18oz Wisconsin Badgers - Red",CHILD
B09DQ836GC,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Oklahoma Sooners - Crimson, 18oz) 18oz Oklahoma Sooners - Crimson",CHILD
B09DQ8CHK6,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Oklahoma State Cowboys - Black, 18oz) 18oz Oklahoma State Cowboys - Black",CHILD
B09DQ7ZZVK,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Syracuse Orange - Navy, 18oz) 18oz Syracuse Orange - Navy",CHILD
B0D18MJ476,B0DJP6QDNZ,"Campus Colors College Stainless Steel, Double Walled, Vacuum Insulated, Reusable Collegiate Tumbler with Slider-Top Lid for Travel, Sports, and Coffee,18 oz (North Carolina Tar Heels - Navy, 18oz) 18oz North Carolina Tar Heels - Navy",CHILD
B0CBQDV1M4,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Northwestern Wildcats - Black, 18oz) 18oz Northwestern Wildcats - Black",CHILD
B09DQ7R77W,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Colorado State Rams - Green, 18oz) 18oz Colorado State Rams - Green",CHILD
B09DQB3QFP,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Virginia Cavaliers - Navy, 18oz) 18oz Virginia Cavaliers - Navy",CHILD
B09DQ7QJQ9,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Virginia Tech Hokies - Maroon, 18oz) 18oz Virginia Tech Hokies - Maroon",CHILD
B09DQ6Z2L4,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (VCU Rams - Black, 18oz) 18oz VCU Rams - Black",CHILD
B09DQB5K4R,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Johns Hopkins Blue Jays - Black, 18oz) 18oz Johns Hopkins Blue Jays - Black",CHILD
B09DQ8JKST,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (SMU Mustangs - Royal, 18oz) 18oz SMU Mustangs - Royal",CHILD
